Месяц,Торговое наименование,МНН / Действ. вещества,Лек. форма,Страна производителя,Фармако-терапевтическая группа,ЖНВЛП,ПККН,Характер,flag,Кол-во
2023-01-31,вольтарен,диклофенак,суппозитории ректальные,ФРАНЦИЯ,НПВП,Нет,Нет,,вольтаренсуппозитории ректальные,72.0
2023-04-30,вольтарен,диклофенак,суппозитории ректальные,ФРАНЦИЯ,НПВП,Нет,Нет,,вольтаренсуппозитории ректальные,69.0
2023-06-30,вольтарен,диклофенак,суппозитории ректальные,ФРАНЦИЯ,НПВП,Нет,Нет,,вольтаренсуппозитории ректальные,78.0
2023-10-31,вольтарен,диклофенак,суппозитории ректальные,ФРАНЦИЯ,НПВП,Нет,Нет,,вольтаренсуппозитории ректальные,67.0
2023-11-30,вольтарен,диклофенак,суппозитории ректальные,ФРАНЦИЯ,НПВП,Нет,Нет,,вольтаренсуппозитории ректальные,57.0
2023-12-31,вольтарен,диклофенак,суппозитории ректальные,ФРАНЦИЯ,НПВП,Нет,Нет,,вольтаренсуппозитории ректальные,66.0
2024-01-31,вольтарен,диклофенак,суппозитории ректальные,ФРАНЦИЯ,НПВП,Нет,Нет,,вольтаренсуппозитории ректальные,65.0
2024-04-30,вольтарен,диклофенак,суппозитории ректальные,ФРАНЦИЯ,НПВП,Нет,Нет,,вольтаренсуппозитории ректальные,62.0
2024-06-30,вольтарен,диклофенак,суппозитории ректальные,ФРАНЦИЯ,НПВП,Нет,Нет,,вольтаренсуппозитории ректальные,55.0
2024-09-30,вольтарен,диклофенак,суппозитории ректальные,ФРАНЦИЯ,НПВП,Нет,Нет,,вольтаренсуппозитории ректальные,55.0
2024-10-31,вольтарен,диклофенак,суппозитории ректальные,ФРАНЦИЯ,НПВП,Нет,Нет,,вольтаренсуппозитории ректальные,45.0
2024-11-30,вольтарен,диклофенак,суппозитории ректальные,ФРАНЦИЯ,НПВП,Нет,Нет,,вольтаренсуппозитории ректальные,48.0
2024-12-31,вольтарен,диклофенак,суппозитории ректальные,ФРАНЦИЯ,НПВП,Нет,Нет,,вольтаренсуппозитории ректальные,46.0
2023-01-31,вольтарен эмульгель,диклофенак,гель для наружного применения,ШВЕЙЦАРИЯ,НПВП,Нет,Нет,,вольтарен эмульгельгель для наружного применения,44.0
2023-04-30,вольтарен эмульгель,диклофенак,гель для наружного применения,ШВЕЙЦАРИЯ,НПВП,Нет,Нет,,вольтарен эмульгельгель для наружного применения,52.0
2023-06-30,вольтарен эмульгель,диклофенак,гель для наружного применения,ШВЕЙЦАРИЯ,НПВП,Нет,Нет,,вольтарен эмульгельгель для наружного применения,51.0
2023-09-30,вольтарен эмульгель,диклофенак,гель для наружного применения,ШВЕЙЦАРИЯ,НПВП,Нет,Нет,,вольтарен эмульгельгель для наружного применения,43.0
2023-10-31,вольтарен эмульгель,диклофенак,гель для наружного применения,ШВЕЙЦАРИЯ,НПВП,Нет,Нет,,вольтарен эмульгельгель для наружного применения,35.0
2024-01-31,вольтарен эмульгель,диклофенак,гель для наружного применения,ШВЕЙЦАРИЯ,НПВП,Нет,Нет,,вольтарен эмульгельгель для наружного применения,38.0
2024-04-30,вольтарен эмульгель,диклофенак,гель для наружного применения,ШВЕЙЦАРИЯ,НПВП,Нет,Нет,,вольтарен эмульгельгель для наружного применения,36.0
2024-06-30,вольтарен эмульгель,диклофенак,гель для наружного применения,ШВЕЙЦАРИЯ,НПВП,Нет,Нет,,вольтарен эмульгельгель для наружного применения,29.0
2024-09-30,вольтарен эмульгель,диклофенак,гель для наружного применения,ШВЕЙЦАРИЯ,НПВП,Нет,Нет,,вольтарен эмульгельгель для наружного применения,29.0
2024-10-31,вольтарен эмульгель,диклофенак,гель для наружного применения,ШВЕЙЦАРИЯ,НПВП,Нет,Нет,,вольтарен эмульгельгель для наружного применения,28.0
2024-11-30,вольтарен эмульгель,диклофенак,гель для наружного применения,ШВЕЙЦАРИЯ,НПВП,Нет,Нет,,вольтарен эмульгельгель для наружного применения,28.0
2024-12-31,вольтарен эмульгель,диклофенак,гель для наружного применения,ШВЕЙЦАРИЯ,НПВП,Нет,Нет,,вольтарен эмульгельгель для наружного применения,25.0
2023-01-31,вориконазол,вориконазол,раствор,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолраствор,127.0
2023-02-28,вориконазол,вориконазол,раствор,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолраствор,118.0
2023-03-31,вориконазол,вориконазол,раствор,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолраствор,125.0
2023-07-31,вориконазол,вориконазол,раствор,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолраствор,119.0
2023-08-31,вориконазол,вориконазол,раствор,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолраствор,110.0
2023-10-31,вориконазол,вориконазол,раствор,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолраствор,115.0
2023-12-31,вориконазол,вориконазол,раствор,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолраствор,110.0
2024-01-31,вориконазол,вориконазол,раствор,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолраствор,106.0
2024-02-29,вориконазол,вориконазол,раствор,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолраствор,111.0
2024-03-31,вориконазол,вориконазол,раствор,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолраствор,109.0
2024-07-31,вориконазол,вориконазол,раствор,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолраствор,106.0
2024-08-31,вориконазол,вориконазол,раствор,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолраствор,102.0
2024-10-31,вориконазол,вориконазол,раствор,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолраствор,98.0
2024-11-30,вориконазол,вориконазол,раствор,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолраствор,99.0
2024-12-31,вориконазол,вориконазол,раствор,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолраствор,89.0
2023-02-28,вориконазол,вориконазол,таблетки,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолтаблетки,108.0
2023-03-31,вориконазол,вориконазол,таблетки,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолтаблетки,102.0
2023-07-31,вориконазол,вориконазол,таблетки,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолтаблетки,120.0
2023-10-31,вориконазол,вориконазол,таблетки,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолтаблетки,86.0
2023-11-30,вориконазол,вориконазол,таблетки,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолтаблетки,95.0
2023-12-31,вориконазол,вориконазол,таблетки,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолтаблетки,88.0
2024-01-31,вориконазол,вориконазол,таблетки,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолтаблетки,102.0
2024-02-29,вориконазол,вориконазол,таблетки,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолтаблетки,69.0
2024-03-31,вориконазол,вориконазол,таблетки,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолтаблетки,71.0
2024-07-31,вориконазол,вориконазол,таблетки,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолтаблетки,59.0
2024-08-31,вориконазол,вориконазол,таблетки,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолтаблетки,61.0
2024-10-31,вориконазол,вориконазол,таблетки,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолтаблетки,53.0
2024-11-30,вориконазол,вориконазол,таблетки,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолтаблетки,62.0
2024-12-31,вориконазол,вориконазол,таблетки,РОССИЯ,противогрибковое средство,Да,Нет,,вориконазолтаблетки,51.0
2023-02-28,вормин,мебендазол,таблетки,ИНДИЯ,антигельминтное средство,Да,Нет,,ворминтаблетки,140.0
2023-03-31,вормин,мебендазол,таблетки,ИНДИЯ,антигельминтное средство,Да,Нет,,ворминтаблетки,133.0
2023-04-30,вормин,мебендазол,таблетки,ИНДИЯ,антигельминтное средство,Да,Нет,,ворминтаблетки,133.0
2023-10-31,вормин,мебендазол,таблетки,ИНДИЯ,антигельминтное средство,Да,Нет,,ворминтаблетки,129.0
2024-02-29,вормин,мебендазол,таблетки,ИНДИЯ,антигельминтное средство,Да,Нет,,ворминтаблетки,125.0
2024-03-31,вормин,мебендазол,таблетки,ИНДИЯ,антигельминтное средство,Да,Нет,,ворминтаблетки,118.0
2024-04-30,вормин,мебендазол,таблетки,ИНДИЯ,антигельминтное средство,Да,Нет,,ворминтаблетки,108.0
2024-10-31,вормин,мебендазол,таблетки,ИНДИЯ,антигельминтное средство,Да,Нет,,ворминтаблетки,107.0
2023-03-31,габапентин,габапентин,капсулы,РОССИЯ,противоэпилептическое средство,Нет,Нет,,габапентинкапсулы,107.0
2023-10-31,габапентин,габапентин,капсулы,РОССИЯ,противоэпилептическое средство,Нет,Нет,,габапентинкапсулы,118.0
2024-03-31,габапентин,габапентин,капсулы,РОССИЯ,противоэпилептическое средство,Нет,Нет,,габапентинкапсулы,109.0
2024-10-31,габапентин,габапентин,капсулы,РОССИЯ,противоэпилептическое средство,Нет,Нет,,габапентинкапсулы,103.0
2023-03-31,габапентин канон,габапентин,капсулы,РОССИЯ,противоэпилептическое средство,Нет,Нет,,габапентин канонкапсулы,81.0
2023-10-31,габапентин канон,габапентин,капсулы,РОССИЯ,противоэпилептическое средство,Нет,Нет,,габапентин канонкапсулы,76.0
2024-03-31,габапентин канон,габапентин,капсулы,РОССИЯ,противоэпилептическое средство,Нет,Нет,,габапентин канонкапсулы,88.0
2024-10-31,габапентин канон,габапентин,капсулы,РОССИЯ,противоэпилептическое средство,Нет,Нет,,габапентин канонкапсулы,73.0
2023-06-30,гайро,орнидазол,таблетки,ИНДИЯ,противопротозойное средство,Нет,Нет,,гайротаблетки,112.0
2023-09-30,гайро,орнидазол,таблетки,ИНДИЯ,противопротозойное средство,Нет,Нет,,гайротаблетки,112.0
2023-11-30,гайро,орнидазол,таблетки,ИНДИЯ,противопротозойное средство,Нет,Нет,,гайротаблетки,112.0
2024-06-30,гайро,орнидазол,таблетки,ИНДИЯ,противопротозойное средство,Нет,Нет,,гайротаблетки,111.0
2024-09-30,гайро,орнидазол,таблетки,ИНДИЯ,противопротозойное средство,Нет,Нет,,гайротаблетки,103.0
2024-11-30,гайро,орнидазол,таблетки,ИНДИЯ,противопротозойное средство,Нет,Нет,,гайротаблетки,100.0
2023-09-30,галоперидол,галоперидол,раствор,РОССИЯ,антипсихотическое средство (нейролептик),Да,Нет,,галоперидолраствор,43.0
2024-09-30,галоперидол,галоперидол,раствор,РОССИЯ,антипсихотическое средство (нейролептик),Да,Нет,,галоперидолраствор,45.0
2023-09-30,галоперидол,галоперидол,таблетки,РОССИЯ,антипсихотическое средство (нейролептик),Да,Нет,,галоперидолтаблетки,109.0
2024-09-30,галоперидол,галоперидол,таблетки,РОССИЯ,антипсихотическое средство (нейролептик),Да,Нет,,галоперидолтаблетки,118.0
2023-07-31,геделикс,плюща обыкновенного листьев экстракт,капли для приёма внутрь,ГЕРМАНИЯ,"Препараты, применяемые при кашле и простудных заболеваниях; отхаркивающие средства, кроме комбинаций с противокашлевыми средствами; отхаркивающие средства",Нет,Нет,,геделикскапли для приёма внутрь,115.0
2023-12-31,геделикс,плюща обыкновенного листьев экстракт,капли для приёма внутрь,ГЕРМАНИЯ,отхаркивающее средство растительного происхождения,Нет,Нет,,геделикскапли для приёма внутрь,112.0
2024-07-31,геделикс,плюща обыкновенного листьев экстракт,капли для приёма внутрь,ГЕРМАНИЯ,"Препараты, применяемые при кашле и простудных заболеваниях; отхаркивающие средства, кроме комбинаций с противокашлевыми средствами; отхаркивающие средства",Нет,Нет,,геделикскапли для приёма внутрь,103.0
2024-12-31,геделикс,плюща обыкновенного листьев экстракт,капли для приёма внутрь,ГЕРМАНИЯ,отхаркивающее средство растительного происхождения,Нет,Нет,,геделикскапли для приёма внутрь,108.0
2023-07-31,геделикс,плюща обыкновенного листьев экстракт,сироп,ГЕРМАНИЯ,"Препараты, применяемые при кашле и простудных заболеваниях; отхаркивающие средства, кроме комбинаций с противокашлевыми средствами; отхаркивающие средства",Нет,Нет,,геделикссироп,85.0
2023-12-31,геделикс,плюща обыкновенного листьев экстракт,сироп,ГЕРМАНИЯ,отхаркивающее средство растительного происхождения,Нет,Нет,,геделикссироп,58.0
2024-07-31,геделикс,плюща обыкновенного листьев экстракт,сироп,ГЕРМАНИЯ,"Препараты, применяемые при кашле и простудных заболеваниях; отхаркивающие средства, кроме комбинаций с противокашлевыми средствами; отхаркивающие средства",Нет,Нет,,геделикссироп,91.0
2024-12-31,геделикс,плюща обыкновенного листьев экстракт,сироп,ГЕРМАНИЯ,отхаркивающее средство растительного происхождения,Нет,Нет,,геделикссироп,70.0
2023-08-31,гексорал,гексэтидин,аэрозоль для местного применения,ФРАНЦИЯ,антисептическое средство,Нет,Нет,,гексоралаэрозоль для местного применения,92.0
2024-08-31,гексорал,гексэтидин,аэрозоль для местного применения,ФРАНЦИЯ,антисептическое средство,Нет,Нет,,гексоралаэрозоль для местного применения,84.0
2023-08-31,гексорал,гексэтидин,раствор,ФРАНЦИЯ,антисептическое средство,Нет,Нет,,гексоралраствор,46.0
2024-08-31,гексорал,гексэтидин,раствор,ФРАНЦИЯ,антисептическое средство,Нет,Нет,,гексоралраствор,33.0
2023-02-28,гельминдазол,мебендазол,таблетки,РОССИЯ,антигельминтное средство,Да,Нет,,гельминдазолтаблетки,73.0
2023-03-31,гельминдазол,мебендазол,таблетки,РОССИЯ,антигельминтное средство,Да,Нет,,гельминдазолтаблетки,67.0
2023-04-30,гельминдазол,мебендазол,таблетки,РОССИЯ,антигельминтное средство,Да,Нет,,гельминдазолтаблетки,66.0
2023-10-31,гельминдазол,мебендазол,таблетки,РОССИЯ,антигельминтное средство,Да,Нет,,гельминдазолтаблетки,54.0
2024-02-29,гельминдазол,мебендазол,таблетки,РОССИЯ,антигельминтное средство,Да,Нет,,гельминдазолтаблетки,49.0
2024-03-31,гельминдазол,мебендазол,таблетки,РОССИЯ,антигельминтное средство,Да,Нет,,гельминдазолтаблетки,43.0
2024-04-30,гельминдазол,мебендазол,таблетки,РОССИЯ,антигельминтное средство,Да,Нет,,гельминдазолтаблетки,31.0
2024-10-31,гельминдазол,мебендазол,таблетки,РОССИЯ,антигельминтное средство,Да,Нет,,гельминдазолтаблетки,31.0
2023-02-28,гельминтокс,пирантел,суспензия для приёма внутрь,ФРАНЦИЯ,антигельминтное средство,Да,Нет,,гельминтокссуспензия для приёма внутрь,117.0
2023-03-31,гельминтокс,пирантел,суспензия для приёма внутрь,ФРАНЦИЯ,антигельминтное средство,Да,Нет,,гельминтокссуспензия для приёма внутрь,116.0
2023-04-30,гельминтокс,пирантел,суспензия для приёма внутрь,ФРАНЦИЯ,антигельминтное средство,Да,Нет,,гельминтокссуспензия для приёма внутрь,99.0
2023-10-31,гельминтокс,пирантел,суспензия для приёма внутрь,ФРАНЦИЯ,антигельминтное средство,Да,Нет,,гельминтокссуспензия для приёма внутрь,104.0
2024-02-29,гельминтокс,пирантел,суспензия для приёма внутрь,ФРАНЦИЯ,антигельминтное средство,Да,Нет,,гельминтокссуспензия для приёма внутрь,99.0
2024-03-31,гельминтокс,пирантел,суспензия для приёма внутрь,ФРАНЦИЯ,антигельминтное средство,Да,Нет,,гельминтокссуспензия для приёма внутрь,83.0
2024-04-30,гельминтокс,пирантел,суспензия для приёма внутрь,ФРАНЦИЯ,антигельминтное средство,Да,Нет,,гельминтокссуспензия для приёма внутрь,94.0
2024-10-31,гельминтокс,пирантел,суспензия для приёма внутрь,ФРАНЦИЯ,антигельминтное средство,Да,Нет,,гельминтокссуспензия для приёма внутрь,83.0
2023-02-28,гельминтокс,пирантел,таблетки,ФРАНЦИЯ,антигельминтное средство,Да,Нет,,гельминтокстаблетки,83.0
2023-03-31,гельминтокс,пирантел,таблетки,ФРАНЦИЯ,антигельминтное средство,Да,Нет,,гельминтокстаблетки,103.0
2023-04-30,гельминтокс,пирантел,таблетки,ФРАНЦИЯ,антигельминтное средство,Да,Нет,,гельминтокстаблетки,77.0
2023-10-31,гельминтокс,пирантел,таблетки,ФРАНЦИЯ,антигельминтное средство,Да,Нет,,гельминтокстаблетки,91.0
2024-02-29,гельминтокс,пирантел,таблетки,ФРАНЦИЯ,антигельминтное средство,Да,Нет,,гельминтокстаблетки,83.0
2024-03-31,гельминтокс,пирантел,таблетки,ФРАНЦИЯ,антигельминтное средство,Да,Нет,,гельминтокстаблетки,56.0
2024-04-30,гельминтокс,пирантел,таблетки,ФРАНЦИЯ,антигельминтное средство,Да,Нет,,гельминтокстаблетки,69.0
2024-10-31,гельминтокс,пирантел,таблетки,ФРАНЦИЯ,антигельминтное средство,Да,Нет,,гельминтокстаблетки,67.0
2023-06-30,гемангиол,пропранолол,раствор,ФРАНЦИЯ,бета-адреноблокатор,Нет,Нет,,гемангиолраствор,116.0
2024-06-30,гемангиол,пропранолол,раствор,ФРАНЦИЯ,бета-адреноблокатор,Нет,Нет,,гемангиолраствор,120.0
2024-09-30,гемангиол,пропранолол,раствор,ФРАНЦИЯ,бета-адреноблокатор,Нет,Нет,,гемангиолраствор,118.0
2023-03-31,гемапаксан,эноксапарин натрия,раствор,ИТАЛИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гемапаксанраствор,100.0
2023-08-31,гемапаксан,эноксапарин натрия,раствор,ИТАЛИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гемапаксанраствор,105.0
2023-11-30,гемапаксан,эноксапарин натрия,раствор,ИТАЛИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гемапаксанраствор,97.0
2024-03-31,гемапаксан,эноксапарин натрия,раствор,ИТАЛИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гемапаксанраствор,99.0
2024-08-31,гемапаксан,эноксапарин натрия,раствор,ИТАЛИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гемапаксанраствор,96.0
2024-11-30,гемапаксан,эноксапарин натрия,раствор,ИТАЛИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гемапаксанраствор,84.0
2023-01-31,гемзар,гемцитабин,раствор,ГРЕЦИЯ,противоопухолевое средство - антиметаболит,Да,Нет,,гемзарраствор,48.0
2023-06-30,гемзар,гемцитабин,раствор,ГРЕЦИЯ,противоопухолевое средство - антиметаболит,Да,Нет,,гемзарраствор,44.0
2023-09-30,гемзар,гемцитабин,раствор,ГРЕЦИЯ,противоопухолевое средство - антиметаболит,Да,Нет,,гемзарраствор,43.0
2023-10-31,гемзар,гемцитабин,раствор,ГРЕЦИЯ,противоопухолевое средство - антиметаболит,Да,Нет,,гемзарраствор,46.0
2024-01-31,гемзар,гемцитабин,раствор,ГРЕЦИЯ,противоопухолевое средство - антиметаболит,Да,Нет,,гемзарраствор,38.0
2024-06-30,гемзар,гемцитабин,раствор,ГРЕЦИЯ,противоопухолевое средство - антиметаболит,Да,Нет,,гемзарраствор,32.0
2024-09-30,гемзар,гемцитабин,раствор,ГРЕЦИЯ,противоопухолевое средство - антиметаболит,Да,Нет,,гемзарраствор,33.0
2024-10-31,гемзар,гемцитабин,раствор,ГРЕЦИЯ,противоопухолевое средство - антиметаболит,Да,Нет,,гемзарраствор,30.0
2023-01-31,гемцитабин-тева,гемцитабин,раствор,ИТАЛИЯ,противоопухолевое средство - антиметаболит,Да,Нет,,гемцитабин-тевараствор,64.0
2023-06-30,гемцитабин-тева,гемцитабин,раствор,ИТАЛИЯ,противоопухолевое средство - антиметаболит,Да,Нет,,гемцитабин-тевараствор,56.0
2023-09-30,гемцитабин-тева,гемцитабин,раствор,ИТАЛИЯ,противоопухолевое средство - антиметаболит,Да,Нет,,гемцитабин-тевараствор,59.0
2023-10-31,гемцитабин-тева,гемцитабин,раствор,ИТАЛИЯ,противоопухолевое средство - антиметаболит,Да,Нет,,гемцитабин-тевараствор,58.0
2024-01-31,гемцитабин-тева,гемцитабин,раствор,ИТАЛИЯ,противоопухолевое средство - антиметаболит,Да,Нет,,гемцитабин-тевараствор,41.0
2024-06-30,гемцитабин-тева,гемцитабин,раствор,ИТАЛИЯ,противоопухолевое средство - антиметаболит,Да,Нет,,гемцитабин-тевараствор,60.0
2024-09-30,гемцитабин-тева,гемцитабин,раствор,ИТАЛИЯ,противоопухолевое средство - антиметаболит,Да,Нет,,гемцитабин-тевараствор,43.0
2024-10-31,гемцитабин-тева,гемцитабин,раствор,ИТАЛИЯ,противоопухолевое средство - антиметаболит,Да,Нет,,гемцитабин-тевараствор,49.0
2023-01-31,генитрон,мелоксикам,таблетки,РОССИЯ,НПВП,Нет,Нет,,генитронтаблетки,99.0
2023-04-30,генитрон,мелоксикам,таблетки,РОССИЯ,НПВП,Нет,Нет,,генитронтаблетки,90.0
2023-06-30,генитрон,мелоксикам,таблетки,РОССИЯ,НПВП,Нет,Нет,,генитронтаблетки,96.0
2023-09-30,генитрон,мелоксикам,таблетки,РОССИЯ,НПВП,Нет,Нет,,генитронтаблетки,97.0
2023-10-31,генитрон,мелоксикам,таблетки,РОССИЯ,НПВП,Нет,Нет,,генитронтаблетки,89.0
2023-11-30,генитрон,мелоксикам,таблетки,РОССИЯ,НПВП,Нет,Нет,,генитронтаблетки,88.0
2023-12-31,генитрон,мелоксикам,таблетки,РОССИЯ,НПВП,Нет,Нет,,генитронтаблетки,86.0
2024-01-31,генитрон,мелоксикам,таблетки,РОССИЯ,НПВП,Нет,Нет,,генитронтаблетки,84.0
2024-04-30,генитрон,мелоксикам,таблетки,РОССИЯ,НПВП,Нет,Нет,,генитронтаблетки,82.0
2024-06-30,генитрон,мелоксикам,таблетки,РОССИЯ,НПВП,Нет,Нет,,генитронтаблетки,85.0
2024-09-30,генитрон,мелоксикам,таблетки,РОССИЯ,НПВП,Нет,Нет,,генитронтаблетки,77.0
2024-10-31,генитрон,мелоксикам,таблетки,РОССИЯ,НПВП,Нет,Нет,,генитронтаблетки,74.0
2024-11-30,генитрон,мелоксикам,таблетки,РОССИЯ,НПВП,Нет,Нет,,генитронтаблетки,75.0
2024-12-31,генитрон,мелоксикам,таблетки,РОССИЯ,НПВП,Нет,Нет,,генитронтаблетки,73.0
2023-09-30,гепаретта,адеметионин,раствор,РОССИЯ,гепатопротекторное средство,Да,Нет,,гепареттараствор,68.0
2024-09-30,гепаретта,адеметионин,раствор,РОССИЯ,гепатопротекторное средство,Да,Нет,,гепареттараствор,68.0
2023-03-31,гепарин,гепарин натрия,раствор,РОССИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепаринраствор,86.0
2023-08-31,гепарин,гепарин натрия,раствор,РОССИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепаринраствор,90.0
2023-11-30,гепарин,гепарин натрия,раствор,РОССИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепаринраствор,83.0
2024-03-31,гепарин,гепарин натрия,раствор,РОССИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепаринраствор,78.0
2024-08-31,гепарин,гепарин натрия,раствор,РОССИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепаринраствор,82.0
2024-11-30,гепарин,гепарин натрия,раствор,РОССИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепаринраствор,52.0
2023-03-31,гепарин натрия,гепарин натрия,раствор,РОССИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин натрияраствор,41.0
2023-08-31,гепарин натрия,гепарин натрия,раствор,РОССИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин натрияраствор,43.0
2023-11-30,гепарин натрия,гепарин натрия,раствор,РОССИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин натрияраствор,41.0
2024-03-31,гепарин натрия,гепарин натрия,раствор,РОССИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин натрияраствор,46.0
2024-08-31,гепарин натрия,гепарин натрия,раствор,РОССИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин натрияраствор,44.0
2024-11-30,гепарин натрия,гепарин натрия,раствор,РОССИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин натрияраствор,35.0
2023-03-31,гепарин-натрий браун,гепарин натрия,раствор,ИСПАНИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин-натрий браунраствор,42.0
2023-08-31,гепарин-натрий браун,гепарин натрия,раствор,ИСПАНИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин-натрий браунраствор,53.0
2023-11-30,гепарин-натрий браун,гепарин натрия,раствор,ИСПАНИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин-натрий браунраствор,36.0
2024-03-31,гепарин-натрий браун,гепарин натрия,раствор,ИСПАНИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин-натрий браунраствор,39.0
2024-08-31,гепарин-натрий браун,гепарин натрия,раствор,ИСПАНИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин-натрий браунраствор,28.0
2024-11-30,гепарин-натрий браун,гепарин натрия,раствор,ИСПАНИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин-натрий браунраствор,13.0
2023-03-31,гепарин-рус,гепарин натрия,раствор,ИНДИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин-русраствор,50.0
2023-08-31,гепарин-рус,гепарин натрия,раствор,ИНДИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин-русраствор,59.0
2023-11-30,гепарин-рус,гепарин натрия,раствор,ИНДИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин-русраствор,56.0
2024-03-31,гепарин-рус,гепарин натрия,раствор,ИНДИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин-русраствор,43.0
2024-08-31,гепарин-рус,гепарин натрия,раствор,ИНДИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин-русраствор,47.0
2024-11-30,гепарин-рус,гепарин натрия,раствор,ИНДИЯ,антикоагулянтное средство прямого действия,Да,Нет,,гепарин-русраствор,44.0
2023-09-30,гепреда,адеметионин,раствор,РОССИЯ,гепатопротекторное средство,Да,Нет,,гепредараствор,129.0
2024-09-30,гепреда,адеметионин,раствор,РОССИЯ,гепатопротекторное средство,Да,Нет,,гепредараствор,126.0
2023-07-31,гербион плющ,плюща обыкновенного листьев экстракт,таблетки,СЛОВЕНИЯ,"Препараты, применяемые при кашле и простудных заболеваниях; отхаркивающие средства, кроме комбинаций с противокашлевыми средствами; отхаркивающие средства",Нет,Нет,,гербион плющтаблетки,82.0
2023-12-31,гербион плющ,плюща обыкновенного листьев экстракт,таблетки,СЛОВЕНИЯ,"Препараты, применяемые при кашле и простудных заболеваниях; отхаркивающие средства, кроме комбинаций с противокашлевыми средствами; отхаркивающие средства",Нет,Нет,,гербион плющтаблетки,73.0
2024-07-31,гербион плющ,плюща обыкновенного листьев экстракт,таблетки,СЛОВЕНИЯ,"Препараты, применяемые при кашле и простудных заболеваниях; отхаркивающие средства, кроме комбинаций с противокашлевыми средствами; отхаркивающие средства",Нет,Нет,,гербион плющтаблетки,84.0
2024-12-31,гербион плющ,плюща обыкновенного листьев экстракт,таблетки,СЛОВЕНИЯ,отхаркивающее средство растительного происхождения,Нет,Нет,,гербион плющтаблетки,75.0
2023-12-31,гербион сироп плюща,плюща обыкновенного листьев экстракт,сироп,СЛОВЕНИЯ,"Препараты, применяемые при кашле и простудных заболеваниях; отхаркивающие средства, кроме комбинаций с противокашлевыми средствами; муколитические средства",Нет,Нет,,гербион сироп плющасироп,34.0
2024-12-31,гербион сироп плюща,плюща обыкновенного листьев экстракт,сироп,СЛОВЕНИЯ,отхаркивающее средство растительного происхождения,Нет,Нет,,гербион сироп плющасироп,34.0
